ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,E_score,S_score,G_score,ESG_score
adus,Addus Homecare Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/20ba9a37b3127f14370410e76dcf5f2e7db9e068cc08f2da0e740aa7aaa6bf52.png,https://addus.com/,B,Medium,B,Medium,B,Medium,0.019267822736030837,0.10848126232741617,0.35750000000000004,643,16-04-2022,B,Medium,1468328,0.019267822736030837,0.10848126232741617,0.35750000000000004,0.1475015077926372
acgl,Arch Capital Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/8c4d69f6-80df-11ea-8233-00000000092a.png,https://www.archgroup.com/,A,High,BB,Medium,BB,Medium,0.5780346820809248,0.27613412228796846,0.5625,1100,16-04-2022,BBB,High,947484,0.5780346820809248,0.27613412228796846,0.5625,0.4828041095187604
adpt,Adaptive Biotechnologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/49f91794-80da-11ea-be7a-00000000092a.png,https://www.adaptivebiotech.com,B,Medium,BB,Medium,B,Medium,0.11560693641618497,0.37080867850098626,0.4625,868,16-04-2022,BB,Medium,1478320,0.11560693641618497,0.37080867850098626,0.4625,0.2962353781167699
adsk,Autodesk Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,https://www.autodesk.com/,A,High,BB,Medium,BB,Medium,0.6840077071290944,0.2840236686390533,0.5875,1169,16-04-2022,BBB,High,769397,0.6840077071290944,0.2840236686390533,0.5875,0.5350601834433537
adp,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,0.5780346820809248,0.27613412228796846,0.3125,1000,25-07-2022,BBB,High,8670,0.5780346820809248,0.27613412228796846,0.3125,0.40780410951876045
adtx,Aditxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/278ebd47277db15b770d06958e2e2b981b0f75047d9485ef7fd67eabe0c557f0.png,https://aditxt.com/,B,Medium,B,Medium,BB,Medium,0.019267822736030837,0.12623274161735704,0.5750000000000001,739,10-06-2022,B,Medium,1726711,0.019267822736030837,0.12623274161735704,0.5750000000000001,0.21807695157961945
adv,Advantage Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/4191147864cd494d9602ea7d462b368568307c389e3447f9d958e091675fc1b7.png,https://advantagesolutions.net/,A,High,B,Medium,BB,Medium,0.6069364161849711,0.2149901380670612,0.6325000000000001,1112,20-04-2022,BBB,High,1776661,0.6069364161849711,0.2149901380670612,0.6325000000000001,0.49702160789410677
advm,Adverum Biotechnologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2a8c64fe-80d0-11ea-9f54-00000000092a.png,https://adverum.com/,B,Medium,BB,Medium,B,Medium,0.11946050096339117,0.3175542406311637,0.4,818,16-04-2022,BB,Medium,1501756,0.11946050096339117,0.3175542406311637,0.4,0.2630504725747056
aehr,Aehr Test Systems,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/9a8fe21e-80df-11ea-8837-00000000092a.png,https://www.aehr.com/,B,Medium,B,Medium,BB,Medium,0.17341040462427743,0.2011834319526627,0.5625,852,16-04-2022,BB,Medium,1040470,0.17341040462427743,0.2011834319526627,0.5625,0.29846919143550976
aehl,Antelope Enterprise Holdings Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/9a75e4385b34c0cb39ac72f06791b387f2ee941735bc144041b63d26403c5301.png,https://www.aehltd.com/,B,Medium,B,Medium,BB,Medium,0.07321772639691715,0.15187376725838264,0.625,800,10-06-2022,BB,Medium,1470683,0.07321772639691715,0.15187376725838264,0.625,0.26234922073628164
